"PVWatts Hourly PV Performance Data"
"Requested Location","3 Dean street millis ma"
"Location","Lat, Lng: 42.13, -71.34"
"Latitude (DD)","42.13"
"Longitude (DD)","-71.34"
"Elevation (m)","52.200000762939"
"DC System Size (kW)","21.360"
"Module Type","Premium"
"Array Type","2-Axis Tracking"
"Array Tilt (deg)","0"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.068"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","Yes (0.7)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","0","0.7","0.87","0","0","0","0"
"1","1","1","0","0","0","0.7","0.87","0","0","0","0"
"1","1","2","0","0","0","0.7","0.87","0","0","0","0"
"1","1","3","0","0","0","0.7","0.87","0","0","0","0"
"1","1","4","0","0","0","0.8","0.87","0","0","0","0"
"1","1","5","0","0","0","0.8","0.87","0","0","0","0"
"1","1","6","0","0","0","0.8","0.87","0","0","0","0"
"1","1","7","0","9","0","0.9","0.87","8.393","0.12","90.833","0"
"1","1","8","70","67","0","0.9","0.87","210.526","5.802","3975.625","3739.627"
"1","1","9","733","77","0","0.9","0.87","987.841","30.093","18055.239","17320.345"
"1","1","10","722","72","0","1","0.87","959.222","28.506","17592.404","16873.91"
"1","1","11","649","99","0","1","0.87","939.017","27.445","17225.268","16519.783"
"1","1","12","687","88","0","1","0.87","958.762","28.249","17555.479","16838.293"
"1","1","13","625","85","0","1","0.87","882.797","26.118","16331.904","15658.074"
"1","1","14","473","74","0","1","0.87","698.319","20.529","13144.893","12583.991"
"1","1","15","261","47","-1","1","0.87","423.334","11.234","7834.543","7461.808"
"1","1","16","0","0","-2","1","0.87","0","-2","0","0"
"1","1","17","0","0","-3","0.9","0.87","0","-3","0","0"
"1","1","18","0","0","-5","0.9","0.87","0","-5","0","0"
"1","1","19","0","0","-6","0.8","0.87","0","-6","0","0"
"1","1","20","0","0","-7","0.8","0.87","0","-7","0","0"
"1","1","21","0","0","-8","0.8","0.87","0","-8","0","0"
"1","1","22","0","0","-9","0.7","0.87","0","-9","0","0"
"1","1","23","0","0","-10","0.7","0.87","0","-10","0","0"
"1","2","0","0","0","-10","0.8","0.87","0","-10","0","0"
"1","2","1","0","0","-11","0.9","0.87","0","-11","0","0"
"1","2","2","0","0","-11","1","0.87","0","-11","0","0"
"1","2","3","0","0","-11","1","0.87","0","-11","0","0"
"1","2","4","0","0","-11","1","0.87","0","-11","0","0"
"1","2","5","0","0","-11","1","0.87","0","-11","0","0"
"1","2","6","0","0","-11","1","0.87","0","-11","0","0"
"1","2","7","283","13","-10","0.8","0.87","295.155","-2.215","3748.79","3520.83"
"1","2","8","667","45","-7","0.6","0.87","839.676","20.756","15656.93","15007.017"
"1","2","9","795","66","-5","0.6","0.87","1027.375","29.042","18861.3","18097.844"
"1","2","10","850","79","-3","0.7","0.87","1112.428","32.805","20081.286","19274.601"
"1","2","11","872","85","-1","0.8","0.87","1157.887","34.866","20687.83","19859.653"
"1","2","12","531","128","-1","0.8","0.87","840.794","24.687","15555.735","14909.408"
"1","2","13","181","152","-1","0.8","0.87","458.753","12.183","8777.21","8371.073"
"1","2","14","477","79","-1","0.8","0.87","710.529","20.962","13356.79","12788.38"
"1","2","15","506","42","-2","0.8","0.87","670.257","18.758","12251.779","11722.524"
"1","2","16","0","0","-3","0.8","0.87","0","-3","0","0"
"1","2","17","0","0","-4","0.9","0.87","0","-4","0","0"
"1","2","18","0","0","-5","0.8","0.87","0","-5","0","0"
"1","2","19","0","0","-7","0.8","0.87","0","-7","0","0"
"1","2","20","0","0","-9","0.8","0.87","0","-9","0","0"
"1","2","21","0","0","-10","0.8","0.87","0","-10","0","0"
"1","2","22","0","0","-11","0.8","0.87","0","-11","0","0"
"1","2","23","0","0","-12","0.8","0.87","0","-12","0","0"
"1","3","0","0","0","-12","0.8","0.87","0","-12","0","0"
"1","3","1","0","0","-13","0.8","0.87","0","-13","0","0"
"1","3","2","0","0","-13","0.8","0.87","0","-13","0","0"
"1","3","3","0","0","-14","0.7","0.87","0","-14","0","0"
"1","3","4","0","0","-15","0.7","0.87","0","-15","0","0"
"1","3","5","0","0","-16","0.8","0.87","0","-16","0","0"
"1","3","6","0","0","-16","0.9","0.87","0","-16","0","0"
"1","3","7","300","13","-15","0.8","0.87","312.158","-6.758","4032.863","3794.837"
"1","3","8","705","44","-12","0.6","0.87","878.798","17.086","16601.518","15918.135"
"1","3","9","844","61","-10","0.5","0.87","1072.509","26.66","19858.632","19059.836"
"1","3","10","902","72","-8","0.5","0.87","1157.956","31.542","20996.973","20000"
"1","3","11","920","77","-6","0.5","0.87","1198.127","34.45","21436.465","20000"
"1","3","12","906","78","-5","0.5","0.87","1179.242","34.973","21071.693","20000"
"1","3","13","857","73","-5","0.6","0.87","1110.006","31.789","20138.889","19330.162"
"1","3","14","754","61","-5","0.6","0.87","971.077","27.159","17933.465","17202.886"
"1","3","15","535","39","-7","0.7","0.87","696.699","15.243","12925.207","12372.09"
"1","3","16","0","0","-8","0.8","0.87","0","-8","0","0"
"1","3","17","0","0","-8","0.9","0.87","0","-8","0","0"
"1","3","18","0","0","-8","0.9","0.87","0","-8","0","0"
"1","3","19","0","0","-8","0.8","0.87","0","-8","0","0"
"1","3","20","0","0","-8","0.8","0.87","0","-8","0","0"
"1","3","21","0","0","-8","0.7","0.87","0","-8","0","0"
"1","3","22","0","0","-7","0.7","0.87","0","-7","0","0"
"1","3","23","0","0","-7","0.7","0.87","0","-7","0","0"
"1","4","0","0","0","-8","0.8","0.87","0","-8","0","0"
"1","4","1","0","0","-7","0.8","0.87","0","-7","0","0"
"1","4","2","0","0","-7","0.8","0.87","0","-7","0","0"
"1","4","3","0","0","-7","0.7","0.87","0","-7","0","0"
"1","4","4","0","0","-6","0.7","0.87","0","-6","0","0"
"1","4","5","0","0","-6","0.7","0.87","0","-6","0","0"
"1","4","6","0","0","-5","0.7","0.87","0","-5","0","0"
"1","4","7","0","8","-4","0.7","0.87","7.456","-3.888","81.772","0"
"1","4","8","0","62","-2","0.6","0.87","91.86","0.299","1710.514","1554.778"
"1","4","9","531","81","0","0.7","0.87","773.965","24.684","14392.779","13787.66"
"1","4","10","339","145","0","0.8","0.87","635.303","18.972","11956.713","11437.914"
"1","4","11","820","94","1","0.8","0.87","1124.215","35.711","20015.263","19210.917"
"1","4","12","803","97","1","0.9","0.87","1105.881","34.374","19794.65","18998.121"
"1","4","13","745","92","1","0.9","0.87","1026.972","32.214","18589.661","17835.83"
"1","4","14","55","105","0","0.8","0.87","232.365","6.277","4447.118","4194.413"
"1","4","15","62","51","0","0.8","0.87","179.269","5.093","3308.11","3095.765"
"1","4","16","0","0","0","0.8","0.87","0","0","0","0"
"1","4","17","0","0","0","0.8","0.87","0","0","0","0"
"1","4","18","0","0","0","0.8","0.87","0","0","0","0"
"1","4","19","0","0","-1","0.8","0.87","0","-1","0","0"
"1","4","20","0","0","-1","0.7","0.87","0","-1","0","0"
"1","4","21","0","0","-1","0.7","0.87","0","-1","0","0"
"1","4","22","0","0","-2","0.8","0.87","0","-2","0","0"
"1","4","23","0","0","-2","0.8","0.87","0","-2","0","0"
"1","5","0","0","0","-2","0.8","0.87","0","-2","0","0"
"1","5","1","0","0","-2","0.8","0.87","0","-2","0","0"
"1","5","2","0","0","-3","0.7","0.87","0","-3","0","0"
"1","5","3","0","0","-3","0.7","0.87","0","-3","0","0"
"1","5","4","0","0","-3","0.7","0.87","0","-3","0","0"
"1","5","5","0","0","-3","0.7","0.87","0","-3","0","0"
"1","5","6","0","0","-3","0.7","0.87","0","-3","0","0"
"1","5","7","143","15","-2","0.7","0.87","157.005","2.16","1922.986","1759.721"
"1","5","8","556","56","0","0.7","0.87","751.913","24.026","13834.593","13249.253"
"1","5","9","722","80","1","0.7","0.87","981.06","32.493","17774.328","17049.387"
"1","5","10","810","90","2","0.7","0.87","1094.398","37.175","19429.846","18646.244"
"1","5","11","837","96","2","0.8","0.87","1144.45","37.401","20243.859","19431.413"
"1","5","12","846","91","2","0.7","0.87","1135.943","38.163","20053.584","19247.88"
"1","5","13","556","100","2","0.6","0.87","831.817","29.192","15197.512","14563.878"
"1","5","14","583","63","1","0.5","0.87","798.514","28.139","14673.779","14058.703"
"1","5","15","553","40","-1","0.6","0.87","717.846","22.594","13031.798","12474.904"
"1","5","16","0","0","-2","0.8","0.87","0","-2","0","0"
"1","5","17","0","0","-2","0.8","0.87","0","-2","0","0"
"1","5","18","0","0","-3","0.7","0.87","0","-3","0","0"
"1","5","19","0","0","-3","0.7","0.87","0","-3","0","0"
"1","5","20","0","0","-3","0.8","0.87","0","-3","0","0"
"1","5","21","0","0","-3","0.9","0.87","0","-3","0","0"
"1","5","22","0","0","-2","0.7","0.87","0","-2","0","0"
"1","5","23","0","0","-2","0.3","0.87","0","-2","0","0"
"1","6","0","0","0","-2","0.4","0.87","0","-2","0","0"
"1","6","1","0","0","-2","0.6","0.87","0","-2","0","0"
"1","6","2","0","0","-3","0.5","0.87","0","-3","0","0"
"1","6","3","0","0","-3","0.5","0.87","0","-3","0","0"
"1","6","4","0","0","-3","0.5","0.87","0","-3","0","0"
"1","6","5","0","0","-3","0.5","0.87","0","-3","0","0"
"1","6","6","0","0","-2","0.5","0.87","0","-2","0","0"
"1","6","7","0","16","-1","0.5","0.87","14.923","-0.762","166.09","65.08"
"1","6","8","393","73","0","0.6","0.87","609.381","19.722","11329.809","10833.224"
"1","6","9","584","105","0","0.6","0.87","866.427","28.244","15914.54","15255.499"
"1","6","10","706","115","1","0.7","0.87","1020.083","33.482","18342.353","17597.285"
"1","6","11","751","119","2","0.7","0.87","1088.218","36.263","19318.287","18538.638"
"1","6","12","758","114","3","0.6","0.87","1085.837","38.289","19143.862","18370.393"
"1","6","13","725","101","3","0.6","0.87","1019.606","36.518","18158.508","17419.954"
"1","6","14","628","82","2","0.5","0.87","879.741","31.736","15961.424","15300.722"
"1","6","15","424","49","0","0.5","0.87","594.422","19.914","10868.715","10388.468"
"1","6","16","0","0","-1","0.6","0.87","0","-1","0","0"
"1","6","17","0","0","-1","0.6","0.87","0","-1","0","0"
"1","6","18","0","0","0","0.6","0.87","0","0","0","0"
"1","6","19","0","0","0","0.6","0.87","0","0","0","0"
"1","6","20","0","0","0","0.6","0.87","0","0","0","0"
"1","6","21","0","0","0","0.6","0.87","0","0","0","0"
"1","6","22","0","0","0","0.6","0.87","0","0","0","0"
"1","6","23","0","0","-1","0.6","0.87","0","-1","0","0"
"1","7","0","0","0","-1","0.6","0.87","0","-1","0","0"
"1","7","1","0","0","-1","0.6","0.87","0","-1","0","0"
